A.M. Farma Activ
Albula
Argenfarma
Aventis Behring
Axcan Difa      
Betterlife SRL  
Biocontrol
Bioprofarma
Biosintex-Ofar
Biotenk
Bouzen
C & V Internac.
Cachamai
Casasco
Ceade
Climax
Copahue
Cosinter-Red App
Crema de Ordeñe
Del Bel
Derclee
Dicofar
Eczane-Ofar
Electroquímica M
Elhoim
Eurofarma       
Experientia
Frasca
G & M Cosmética
Géminis Farmacéu
Grünenthal
Higaté Medical A
Hoisin
JorgeHane       
La Serranita
Lafage
Lafarmen
Lanpharm (Lan+La
LBA Farma
Lersan
Lesag
Matersan
Merck           
Merck Química
Merck Serono
Mi Flora
Millet-Franklin
Neosol
Nestlé
Novartis Vacunas
Nucleopharm
Ofar            
Pharma Argentina
Pharma del Plata
Phoenix-Elea
Platters
Procter & Gamble
Q-Pharma
Raymos
Rider
Rigó
Roberto A.Sánche
Roche Diag.
Romeca
Ronnet
Rossmore Pharma 
Sancor
Sant Gall
Scidia
Stafford
Stiefel Arg.
SW Pharma
Tetrafarm
Valles de Aloe
Valmax
Wyeth
Zasu
3 M
Altius Farmacéut
Anzon
Apifed
Apolo
Atlas
Austral
B.Braun
Bacon           
Bioceutica
Biogam
Brassora
Brouwer
Cabuchi         
DNR Farma
Driburg
Drog.del Sud
Duncan
Eczane
El Monje
Empresa Nutrició
Epicaris
Epuyén          
Esme
Ethicus
Ferrini
Filaxis
Gen Med
Genser
Global Med
Grnenthal
Hochwertig
Hyaltec         
Inmunolab
Interbelle Cosme
Iraola
Klonal
Knoll
Kröne Arg.
Laboratorio IT
Laborit
Landó
Lazar
LKM
MB Distribucione
Merisant Argenti
Montpellier
Natural Health
New Life
Newark
Novartis
Nutrihealth Arge
Nutrilab        
Omega           
Organon
Paradigma       
Pecomet
Poen
Protan          
Quimica Estrella
Química Estrella
ReAct
Reig
Richmond
Roche
Roemmers
S.D.A.          
Sanofi-Synthelab
Schering
Servycal
Shabba
SmithKlineBeccha
Sojar
Status Salud
Szabó
Szama
Techsphere      
Trb-Pharma
Typen
Villar
Vitanatural
Vitarum
Weleda
Wierhom Pharma
Wunderpharm
Adox/Indeco
Altana Pharma
AMN             
André Masy      
Argentia
Aulo Gelio Arg.
Baliarda
Baxter
Bayer (BSP)     
Becton Dickinson
Beresa
Billiet
Bioquímico Arg.
Biotech Farma   
Bioworld
Bonru Perel
Botiven
Boxalpharma
Breachdan
C.G.C.
Campo Esmeralda
Catalysis
Cevallos
Clark
Coloplast
Columbia
Corpus
Cultural Abadia
Cultural Abadia-
Cultural Abadía
D & R Medical De
Dentaid
Disop/Visiontech
Dist.Villa Luro
Donato Zurlo
Dosa
Drog.Martin
Dulkré
E.J.Gezzi
Ecopharma
Ecoton
Elisium
Eucos/Zine
Excelentia
Farmaderm
Farmaquim
Farmoterapia
Felsan          
Galderma
Giscard Laborato
Gordon
H.Médica Argenti
Impovit
Isdin
Jamerar
Juplast
Kerofarma
Kilab
Kr”ne Arg.
L.D.A.
La Fármaco Arg.
Labonatur
Laboratorios Ion
Lamsa / Lepetit 
Lemax
Massone
Medícalo
Mentholatum
Merck Sharp & Do
Monserrat
Naf
Nova Argentia
Nucleosan
Nutratec        
Nutricional Arge
Odontofarma
Oriental
Pasteurine
Pharma Group
Pharmalab
Piel Vital
Piper Pol
Playboy
Provefarma
Pualy           
Química Medical
R.P.Scherer
Rontag
Rospaw
Scott Pharma    
Sertex
Sildor
Sintesina
Temis-Lostaló
Ugau
Vondermix
Wyeth CP        
A.M.G. Farma
All Lab
Allergan-Loa
AMO
Andrómaco
Apotex          
Argenova Farm
Ariston
Ariston Derma   
Asmopul
AstraZeneca     
Barone
Baxter Argentina
Baxter Immuno
Bayer Consumer
Beta
Biocrom
Biol
Bionutre
Boehringer Ingel
Britania
Broni
Buxton
CAIF
Cimpion
Conifarma
Cromoion
D.G. Distribucio
Dissa
Dos B
Drog.Debal
Dronor
Duncan-Fimotec
Elea            
Elvetium Alet
Ewe
Fabra
Farmpur
Fecofar
Fimotec
Francelab-Omedir
Fucus           
G.A.D.Internac./
Gador
Gaveteco
Gemepe-Medinova
GlaxoSmithKline
Glenmark
Gronin One      
H y R
Hautel
Helen Farm
Hetty
Inpar
Investi         
Italo-C
Kedrion-Scott Ca
Laboratorios Ber
Lafedar
Lepetit         
LKM Pharma      
Microfar        
Olpesce
Omedir
Parke Davis
Paylos
Pierre Fabre Der
Plumbland Holdin
Prímula
Prodava
Produmedix      
Protecnoar
Provinat
Raysan
Reckitt Benckise
Rioplatense
Rivero
Sandoz
Sanitas
Savant Pharm
Sempre Giovane
Sigma
Sunstar         
Talcris
Teingro
Therafarma      
Vita
Wyeth Div.CHC
Abbott
Ahimsa
Androsa
Assistance
Aventis Pharma
Bacteriol
Bailleul Biorga 
Bajer
Bausch & Lomb Ar
Bayer Farma
Bine
Biotechno Pharma
Bristol
Cartilade Arg.
Cetus
Cinetic
Corbaplant
Cosmética Médica
Cyclina
D.R.D S.A.
Defuen
Del Sol
Dermopharma
Dimel & Diagos
Dispolab
Dr.Madaus
Dromicap
Dupomar
Elvetium
Eucos/Mimetix
Extraloe
Fac
Fortbenton
Framingham Pharm
G & M
Galien
Genpharma
Gillette
GP Pharm
Gramón
Grimberg
Heredia
Hexa
Hexa-Medinova
ICN Arg.
Imvi
Indeco
Instituto
Italpharma Argen
Jergens
Kron
La Roche-Posay
Laboratorios Pun
Lamsa
Lamsa-Biocrom
LAMSA-Frasca
Lanpharm
Lauría
Li Feng
LKM Onco/Especia
Maigal
Marck Up
Martian
Medical's P.
Medimar-Fidex
Natufarma
Neo-Dermos
Nolt
Novara
Novo Nordisk
Omicron
Pablo Márquez
Panalab
Paul Hnos.
Pcgen           
Penn Pharmaceuti
Petral France
Prieto
Prolife
Promocrystal Arg
Protecno Labofar
Pualy France
Puebla
Pyam
Quesada
Richet
Rominafort S.H.
San Ceferino
Sanofi-Aventis
Source Naturals
Tecnonat
Teva-Tuteur
Unanut
Veinfar
Verminal
Vichy           
Vicrofer
Volpino
Wyeth Div.VACUNA
York
All Protein
Amhof-Mauriño
Ayurvida
Becton Dickison
Bel Cos
Biferdil
Bioderma        
Butyl
C N S
Cassará
Cinetic-Valuge
Córdoba
Cosmeceuticals
Craveri         
Danes Internac.
Delta Farma
Drog.Garzón
Dumont
Euroderm
F & F Farma
Fabelmet
Fabop
Farmagal
Feel Young
Ferring
Forder
Francelab-Schafe
Fresenius Kabi
Futerman Interna
Géminis
Grupo Andino
Hannah Collins
Hexa-Medinova-Fr
Hochwerting
I.A.C. Internaci
Incaico
Ingens
Ingram
International Pl
Ivax Arg.       
Janssen-Cilag
Laboratorio Sana
Liqrem
Menarini
Neuropharma
Norgreen
Norgreen (DADO D
Nort
Northia
Novoplos        
Nutricia-Bagó
Nycomed
Odol
Pack Seal
Patejim
Pfizer
PharmaDorf
Pharmanove      
Plos
Powergenics
Priroda
Productos Saluda
Raffo
Rhone Poulenc
Rigecin
Roux Ocefa
Sanofi-Aventis O
Schering-Plough
Serono
Sivaderm
Slapak
Soubeiran Chobet
Step Arg.
Tahefarma       
Tanki
Tuteur          
Varifarma
Vianature
Vita Health Phar
Waco
Welt
Werfen Medical
Alcon
Aloe + Salud    
Alvear          
Asofarma
Bayer
Benitol
Bioamerica Farma
Biokosma
Bionet Lab
Bsderm
Capilatis
Celtia
Corion
Costec
Crealko
Dallas
Denver Farma
Dermosoluxion
Dexter
Drog.Droser     
Enzimas
Eriochem        
Eurolab
Fada Pharma
Fapromed
Ferro
Fidex
Francelab       
Gama Farma      
Garden House
Gemepe
Genomma Lab.
GenTech
Gramón-Millet   
Health Pharma
Hexal
Hierbas del Oasi
HLB Pharma
Hoyos S.M.
ISA
Johnson & Johnso
JTW Pharma
Karphos
Key Pharma
Krolton Farma
Labsa
Lacefa
Landi
Lapafer
LARCO
Latin Plus
Lemos
Linfar
Litex
Lundbeck
Mapa Vital
Mauriño
Max Vision
Mead Johnson    
Natulab
Natura Vigor
Natural Life    
Natural y Organi
New Concept
Novartis Consume
Nycomed Amersham
Pavlova
Pharmafem
Pharmatrix
Phoenix         
Post Chirurg
Promeco
Purissimus
Quimisal
Reckitt Colman
S.Antonio
Sanifill
Sanofi Pasteur
Schafer
Scott-Cassará
Servier
Survival
Tacha Sur
Valeant Argentin
Veresne
Walker
Wellness Pharma
Weltrap
Zine/Mimetix
All Pro Salud
Amenite
Amhof
Asbel
Aspen
Bagó
Beiersdorf
Biofar-Bioder
Bio-Labo
Bionatural
Biosidus        
Biotoscana      
California Scien
Celina
Ciba Vision
Colgate
Combe
CSL Behring     
D.Sam-L.Chile
D'armerie       
Dasipa
Dharam Singh
Domínguez
Dr.Preston
Drawer
Drog.Argentina
Drog.Florida
Eli Lilly
Ferrer          
Finadiet
Gador Aventis
Gastón Giscard
Gobbi
Gray
Grifols
Gurfi
Hemoderivados
Hexil
Hiperfarm
Image
IMD
Iris
Justesa Imagen
Kamp Dental
Knop
Laboratiros Ion 
Laboratorios Tau
Lagos
LAIF
Lasifarma
Lativ
Mallinckrodt
Mar
Medac
Medinova
Medipharma
Mertens
Microsules Arg.
Monserrat-Wierho
Monte Verde
Natural San
Naturalis
New Pharma
Nexo Pharmaceuti
Novamen
Novofarma
Nutrilef
Oxapharma       
Pérez
Permatec
Pharmamerican S.
Pierre Fabre Méd
Pierre Fabre Onc
Pierre Fabre Ora
Química Luar
Quin-Farma
Rhodia/Scott Cas
Saturn Supplemen
Scandipharm-Difa
Schwabe
Serch
Sidus
Spedrog Caillon
The Sports Compa
Toril
Trimed
Twinlab-Watley
Valuge
Vannier
Vent 3
Vicami
WR
Wunder Pharm
